number,x,y
830,8,-33
831,36,1
832,-24,-28
833,5,-33
834,7,37
835,-9,-41
836,37,-2
837,37,1
838,26,-10
839,-24,-29
840,-8,-41
841,-22,2
842,14,25
843,31,9
844,-24,-25
845,31,10
846,-29,-12
847,1,-31
848,16,31
849,-15,17
850,-24,-24
851,35,-3
852,-20,0
853,-9,-42
854,31,11
855,-8,-42
856,9,-33
857,-8,-43
858,3,28
859,-23,2
860,-25,-28
861,-26,-28
862,37,-3
863,-9,26
864,17,31
865,13,-7
866,-11,-39
867,17,32
868,-8,-44
869,-13,23
870,-3,18
871,-26,-14
872,5,-34
873,-26,-29
874,-18,-35
875,17,33
876,-18,-36
877,-14,-35
878,7,38
879,31,12
880,6,38
881,-9,27
882,5,33
883,18,32
884,37,-1
885,-26,-11
886,6,39
887,-19,-36
888,28,-5
889,10,-33
890,-10,27
891,-16,20
892,4,33
893,-30,-13
894,-18,-37
895,25,-10
896,18,21
897,37,-4
898,36,-4
899,38,-4
900,12,-23
901,-10,28
902,21,9
903,9,32
904,-29,-11
905,39,-4
906,-17,23
907,-27,-28
908,6,40
909,-27,-29
910,-15,24
911,26,-11
912,-28,-28
913,7,-34
914,33,7
915,19,32
916,31,-4
917,20,32
918,-18,-38
919,5,40
920,39,-5
921,4,34
922,30,-4
923,-7,-44
924,8,38
925,39,-6
926,33,8
927,13,-22
928,8,-34
929,19,20
930,-6,-44
931,-17,24
932,9,38
933,37,2
934,40,-4
935,-16,18
936,-6,25
937,3,34
938,12,-26
939,21,10
940,-28,-27
941,30,12
942,38,-1
943,-8,-45
944,2,34
945,-30,-11
946,10,-30
947,17,34
948,5,41
949,6,41
950,21,32
951,6,42
952,33,9
953,-30,-10
954,19,21
955,-8,-46
956,38,2
957,-10,-42
958,-26,-27
959,-9,-46
960,40,-6
961,-10,-46
962,-22,-30
963,20,20
964,-30,-9
965,32,12
966,18,33
967,7,42
968,-28,-11
969,32,13
970,-26,-30
971,5,42
972,8,42
973,-10,-47
974,5,38
975,18,34
976,-18,23
977,-26,-20
978,-18,24
979,18,35
980,41,-4
981,-10,-48
982,41,-5
983,-19,23
984,-17,18
985,4,31
986,3,35
987,4,-33
988,-29,-28
989,-8,27
990,33,13
991,-30,-8
992,-31,-10
993,37,3
994,42,-4
995,-7,-41
996,-22,-31
997,-11,-46
998,42,-3
999,-10,-49
1000,-31,-11
1001,41,-6
1002,-6,-43
1003,30,-5
1004,-9,-48
1005,33,12
1006,-17,-38
1007,8,43
1008,-11,-48
1009,5,43
1010,32,14
1011,-18,25
1012,-17,25
1013,-17,26
1014,30,-6
1015,26,-12
1016,10,38
1017,27,-10
1018,5,-35
1019,-31,-13
1020,-22,1
1021,9,43
1022,-30,-28
1023,34,13
1024,-24,-30
1025,43,-3
1026,21,33
1027,-19,24
1028,-8,-47
1029,35,13
1030,-29,-10
1031,-10,-50
1032,-11,-49
1033,-29,-27
1034,42,-2
1035,4,41
1036,11,-30
1037,12,-27
1038,-20,24
1039,-30,-27
1040,17,35
1041,-20,25
1042,9,44
1043,9,-34
1044,-12,-49
1045,44,-3
1046,4,38
1047,42,-6
1048,42,-7
1049,3,41
1050,43,-2
1051,-9,-49
1052,-17,27
1053,9,39
1054,-27,-11
1055,5,44
1056,-22,3
1057,-26,-31
1058,21,20
1059,3,31
1060,-21,-7
1061,-8,-49
1062,-32,-10
1063,-10,-51
1064,-32,-9
1065,21,21
1066,-21,24
1067,-16,-38
1068,-33,-10
1069,13,-27
1070,30,13
1071,17,20
1072,22,32
1073,-16,-37
1074,9,45
1075,37,4
1076,10,44
1077,9,46
1078,40,-7
1079,-21,25
1080,13,-23
1081,-11,-51
1082,44,-2
1083,43,-6
1084,2,41
1085,-24,2
1086,9,-35
1087,42,-1
1088,30,9
1089,-12,-51
1090,-21,26
1091,18,36
1092,4,-35
1093,-15,25
1094,23,32
1095,9,42
1096,39,-1
1097,-21,23
1098,42,-8
1099,-33,-9
1100,44,-6
1101,-22,24
1102,17,36
1103,9,47
1104,44,-1
1105,12,-28
1106,-34,-9
1107,-27,-31
