"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
3.380002864E1,1.979203373E-1,-4.276056588E-2,-4.276056588E-2
3.383003333E1,2.247984111E-1,-5.497787148E-2,-4.031710699E-2
3.385004114E1,1.698205322E-1,-3.787364438E-2,3.665191587E-3
3.387004739E1,1.026253626E-1,-2.199114859E-2,3.787364438E-2
3.390004843E1,1.062905490E-1,-3.420845419E-2,7.696902007E-2
3.393004635E1,6.841690838E-2,-2.321287990E-2,1.148426682E-1
3.395005572E1,4.398229718E-2,-2.321287990E-2,1.001819000E-1
3.398005937E1,5.253441259E-2,-1.954768784E-2,1.453859210E-1
3.401004426E1,2.687807009E-2,-1.343903504E-2,1.722639948E-1
3.404005833E1,1.466076635E-2,-8.552113548E-3,2.064724565E-1
3.407004947E1,2.932153270E-2,-1.588249579E-2,1.881465018E-1
3.409005052E1,1.466076635E-2,-1.099557430E-2,1.734857261E-1
3.411005260E1,1.466076635E-2,-2.076941915E-2,1.893682331E-1
3.414004583E1,1.343903504E-2,-1.466076635E-2,2.064724565E-1
3.417024635E1,3.543018550E-2,-1.954768784E-2,1.698205322E-1
3.420003958E1,5.375614017E-2,-3.054326214E-2,1.808161139E-1
3.423004114E1,5.986479297E-2,-5.253441259E-2,1.551597714E-1
3.425014791E1,5.253441259E-2,-3.909537569E-2,1.185078546E-1
3.428002812E1,4.764748737E-2,-3.054326214E-2,9.651670605E-2
3.431002552E1,4.520402849E-2,-1.954768784E-2,6.108652428E-2
3.434003854E1,7.696902007E-2,-4.886921961E-3,1.466076635E-2
3.437005260E1,1.246165112E-1,2.809980139E-2,-4.642575979E-2
3.440003489E1,4.886921868E-2,1.221730467E-2,-5.986479297E-2
3.443006145E1,2.443460934E-2,2.076941915E-2,-1.062905490E-1
3.446003906E1,-2.443460980E-3,5.131268129E-2,-1.673770845E-1
3.448004166E1,1.221730490E-3,5.986479297E-2,-1.820378453E-1
3.451020520E1,-3.665191587E-3,4.398229718E-2,-1.857030392E-1
3.454003437E1,-5.253441259E-2,3.054326214E-2,-1.637118906E-1
3.456003645E1,-9.651670605E-2,4.276056588E-2,-1.783726513E-1
3.459003802E1,-1.246165112E-1,3.543018550E-2,-1.783726513E-1
3.462003437E1,-1.343903542E-1,3.787364438E-2,-1.539380401E-1
3.465002760E1,-1.698205322E-1,3.054326214E-2,-1.600466967E-1
3.468010260E1,-1.942551434E-1,2.565634064E-2,-1.295034289E-1
3.471003645E1,-2.174680233E-1,2.321287990E-2,-1.123992056E-1
3.474004479E1,-1.722639948E-1,1.710422710E-2,-8.185594529E-2
3.476005260E1,-1.918116808E-1,3.054326214E-2,-7.452555746E-2
3.479004426E1,-2.101376504E-1,2.809980139E-2,-6.230825558E-2
3.482002916E1,-2.003637999E-1,2.443460934E-2,-4.642575979E-2
3.484003020E1,-2.333505303E-1,2.199114859E-2,-2.443460934E-2
3.486004583E1,-2.443460971E-1,1.832595654E-2,1.954768784E-2
3.489003802E1,-2.528982162E-1,1.466076635E-2,5.497787148E-2
3.492003229E1,-2.467895597E-1,5.009094998E-2,6.108652428E-2
3.494004062E1,-2.431243658E-1,5.375614017E-2,7.452555746E-2
3.497005781E1,-2.015855312E-1,6.841690838E-2,9.896016866E-2
3.500004843E1,-1.600466967E-1,6.108652428E-2,1.172861308E-1
3.502007239E1,-1.624901593E-1,6.963863969E-2,1.319468915E-1
3.505004062E1,-1.478293836E-1,7.819075137E-2,1.441642046E-1
3.507004374E1,-1.136209369E-1,7.941248268E-2,1.539380401E-1
3.510002760E1,-9.773843922E-3,7.208210230E-2,1.771509200E-1
3.513008541E1,4.520402849E-2,5.864306539E-2,1.942551434E-1
3.516003697E1,5.742133409E-2,2.809980139E-2,1.417207420E-1
3.519016979E1,9.285151958E-2,2.199114859E-2,1.466076523E-1
3.522016979E1,1.514945775E-1,1.588249579E-2,1.417207420E-1
3.525003437E1,1.991420686E-1,-1.466076635E-2,9.651670605E-2
3.528006822E1,2.431243658E-1,-3.909537569E-2,8.063421398E-2
3.531003958E1,2.577851415E-1,-4.642575979E-2,6.841690838E-2
3.534003281E1,2.333505303E-1,-5.864306539E-2,5.131268129E-2
3.536004479E1,2.394591719E-1,-4.886921868E-2,3.176499158E-2
3.539004479E1,2.541199327E-1,-4.764748737E-2,-2.076941915E-2
3.541005833E1,2.761110961E-1,-4.031710699E-2,-4.153883830E-2
3.544003489E1,2.382374406E-1,-6.719517708E-2,-7.941248268E-2
3.547004114E1,2.113593817E-1,-7.574728876E-2,-1.014036313E-1
3.550004166E1,1.722639948E-1,-5.375614017E-2,-1.270599663E-1
3.553005312E1,1.050688252E-1,-2.932153270E-2,-1.099557430E-1
3.556005572E1,1.319468915E-1,-6.352998316E-2,-1.466076523E-1
3.559004426E1,1.123992056E-1,-7.819075137E-2,-1.331686229E-1
3.561004687E1,1.038470939E-1,-6.841690838E-2,-1.453859210E-1
3.564003697E1,4.276056588E-2,-4.031710699E-2,-1.233947799E-1
3.567005937E1,1.588249579E-2,-5.009094998E-2,-1.466076523E-1
