"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
2.512366275E2,4.663100839E-2,6.063240767E-1,-8.656571619E-3
2.512566409E2,4.296581820E-2,5.989937186E-1,-1.232176274E-2
2.512766560E2,3.746802732E-2,6.020480394E-1,-1.476522349E-2
2.512966693E2,3.380283713E-2,6.112110019E-1,-1.354349311E-2
2.513166837E2,2.952678315E-2,6.142653227E-1,-1.293262746E-2
2.513366998E2,2.280726470E-2,5.941067338E-1,-1.415435877E-2
2.513567202E2,1.303342078E-2,5.586766005E-1,-1.659782045E-2
2.513767365E2,5.703037605E-3,5.165268779E-1,-2.270647325E-2
2.513967521E2,-4.056145262E-4,4.829292893E-1,-2.637166344E-2
2.514167578E2,-7.735997904E-3,4.542186260E-1,-2.087387629E-2
2.514367730E2,-1.995330304E-2,4.407795966E-1,-1.476522349E-2
2.514567861E2,-2.484022453E-2,4.181775749E-1,-1.293262746E-2
2.514768007E2,-3.278147057E-2,3.882451653E-1,-1.415435877E-2
2.514968082E2,-4.194445163E-2,3.430411518E-1,-1.843041554E-2
2.515168171E2,-5.355089158E-2,2.960045040E-1,-1.720868424E-2
2.515368345E2,-5.660521612E-2,2.398049384E-1,-1.415435877E-2
2.515568479E2,-6.576819718E-2,1.897139698E-1,-8.045705967E-3
2.515768597E2,-7.065512240E-2,1.542837918E-1,-8.045705967E-3
2.515968754E2,-7.432030886E-2,1.170210093E-1,-9.267437272E-3
2.516168963E2,-7.493117452E-2,8.342342079E-2,-1.171089709E-2
2.516369155E2,-7.859636843E-2,4.127372056E-2,-7.434840780E-3
2.516569271E2,-7.309857756E-2,-1.553674694E-2,-1.044579622E-4
2.516769334E2,-6.210300326E-2,-8.334279060E-2,4.782463890E-3
2.516969475E2,-5.232916027E-2,-1.364880651E-1,6.615059916E-3
2.517169701E2,-4.499877989E-2,-1.719182432E-1,5.393329076E-3
2.517369891E2,-3.461406752E-2,-1.987963319E-1,2.949868096E-3
2.517569961E2,-2.484022453E-2,-2.238418013E-1,4.171598703E-3
2.517789968E2,-1.567724533E-2,-2.666023672E-1,1.089111622E-2
2.517990088E2,-4.681671038E-3,-3.203584850E-1,1.089111622E-2
2.518190222E2,6.924768444E-3,-3.771689832E-1,9.669385850E-3
